variantId,status,eligible,ineligibleReason,description,profilePatch,realizedPnl,winRate,profitFactor,closedTrades,maxDrawdownAbs,openPositions,riskAdjustedScore,earlyInvalidations,earlyRecoveredEntry,earlyReached25Gain,earlyReached50Gain,earlyFinalAboveExit,earlyFinalAboveEntry,earlySparseOutcomeBars,symbolsEvaluated,signalsEvaluated,entriesOpened,exitsClosed,exitReasons,skippedReasons,durationMs,error
early-grid-disabled,succeeded,true,,Winning combo with early invalidation disabled.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":0,""earlyExitLossPct"":0}}",4506,0.725,2.9068980110029625,40,270,1,9.012,0,0,0,0,0,0,0,9,125,41,40,"{""opposite_signal"":15,""hard_stop"":3,""runner_trail_stop"":15,""overnight_risk_exit"":7}","{""historical_option_bars_unavailable"":27,""mtf_not_aligned"":56,""same_direction_position_open"":1}",721601,
early-grid-b3-loss15,succeeded,true,,"Winning combo, early invalidation after 3 bars at -15%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":3,""earlyExitLossPct"":15}}",3261,0.7142857142857143,2.9632751354605658,28,40,1,6.522,4,4,3,2,0,0,0,9,96,29,28,"{""opposite_signal"":8,""early_invalidation"":4,""runner_trail_stop"":10,""overnight_risk_exit"":5,""hard_stop"":1}","{""historical_option_bars_unavailable"":23,""mtf_not_aligned"":43,""same_direction_position_open"":1}",266944,
early-grid-b4-loss15,succeeded,true,,"Winning combo, early invalidation after 4 bars at -15%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":4,""earlyExitLossPct"":15}}",3286,0.7142857142857143,3.008557457212714,28,40,1,6.572,4,4,3,2,0,0,0,9,96,29,28,"{""opposite_signal"":8,""early_invalidation"":4,""runner_trail_stop"":10,""overnight_risk_exit"":5,""hard_stop"":1}","{""historical_option_bars_unavailable"":23,""mtf_not_aligned"":43,""same_direction_position_open"":1}",224290,
early-grid-b6-loss20,succeeded,true,,"Winning combo, early invalidation after 6 bars at -20%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20}}",3291,0.6857142857142857,2.5457961484264913,35,240,1,6.582,2,2,1,1,0,0,0,9,114,36,35,"{""opposite_signal"":14,""early_invalidation"":2,""runner_trail_stop"":13,""overnight_risk_exit"":5,""hard_stop"":1}","{""historical_option_bars_unavailable"":27,""mtf_not_aligned"":50,""same_direction_position_open"":1}",264575,
early-grid-b8-loss25,succeeded,true,,"Winning combo, early invalidation after 8 bars at -25%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":8,""earlyExitLossPct"":25}}",4646,0.725,3.0899685110211426,40,190,1,9.292,2,2,1,1,0,0,0,9,125,41,40,"{""opposite_signal"":15,""early_invalidation"":2,""runner_trail_stop"":15,""overnight_risk_exit"":7,""hard_stop"":1}","{""historical_option_bars_unavailable"":27,""mtf_not_aligned"":56,""same_direction_position_open"":1}",143949,
early-grid-b12-loss30,succeeded,true,,"Winning combo, early invalidation after 12 bars at -30%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":12,""earlyExitLossPct"":30}}",4506,0.725,2.9068980110029625,40,270,1,9.012,0,0,0,0,0,0,0,9,125,41,40,"{""opposite_signal"":15,""hard_stop"":3,""runner_trail_stop"":15,""overnight_risk_exit"":7}","{""historical_option_bars_unavailable"":27,""mtf_not_aligned"":56,""same_direction_position_open"":1}",161328,
trail-ladder-soft,succeeded,true,,"Winning combo with progressive trail: flat at +25%, then slower profit locks.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":25,""minLockedGainPct"":0,""givebackPct"":40},{""activationPct"":35,""minLockedGainPct"":10,""givebackPct"":30},{""activationPct"":50,""minLockedGainPct"":20,""givebackPct"":30},{""activationPct"":75,""minLockedGainPct"":30,""givebackPct"":25},{""activationPct"":100,""minLockedGainPct"":45,""givebackPct"":25}]}}",2545,0.6774193548387096,2.4926686217008798,31,389,2,5.09,1,1,1,1,0,0,0,9,93,33,31,"{""runner_trail_stop"":12,""opposite_signal"":10,""early_invalidation"":1,""overnight_risk_exit"":7,""overnight_runner_stop"":1}","{""mtf_not_aligned"":41,""historical_option_bars_unavailable"":19}",97331,
trail-ladder-balanced,succeeded,true,,Winning combo with progressive trail: lower activation and steadily rising locks.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":25,""minLockedGainPct"":0,""givebackPct"":35},{""activationPct"":35,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":50,""minLockedGainPct"":25,""givebackPct"":25},{""activationPct"":75,""minLockedGainPct"":35,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":50,""givebackPct"":20}]}}",4812,0.725,3.4254032258064515,40,61,1,9.624,1,1,1,1,0,0,0,9,125,41,40,"{""runner_trail_stop"":17,""opposite_signal"":14,""early_invalidation"":1,""overnight_risk_exit"":7,""hard_stop"":1}","{""historical_option_bars_unavailable"":27,""mtf_not_aligned"":56,""same_direction_position_open"":1}",133735,
trail-ladder-aggressive,succeeded,true,,Winning combo with progressive trail: early activation and faster profit locks.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":20,""minLockedGainPct"":0,""givebackPct"":30},{""activationPct"":30,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":45,""minLockedGainPct"":25,""givebackPct"":20},{""activationPct"":65,""minLockedGainPct"":40,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":60,""givebackPct"":15}]}}",5428,0.8181818181818182,7.385882352941176,33,309,1,10.856,0,0,0,0,0,0,0,9,113,34,33,"{""runner_trail_stop"":16,""opposite_signal"":10,""overnight_risk_exit"":6,""hard_stop"":1}","{""historical_option_bars_unavailable"":27,""mtf_not_aligned"":51,""same_direction_position_open"":1}",120103,
trail-ladder-runner-friendly,succeeded,true,,Winning combo with progressive trail: earlier flat protection while leaving sub-5x runners wider.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":25,""minLockedGainPct"":0,""givebackPct"":45},{""activationPct"":40,""minLockedGainPct"":10,""givebackPct"":35},{""activationPct"":75,""minLockedGainPct"":25,""givebackPct"":30},{""activationPct"":150,""minLockedGainPct"":60,""givebackPct"":25}]}}",2247,0.7241379310344828,1.9529262086513994,29,813,1,2.763838,1,1,1,1,0,0,0,9,99,30,29,"{""opposite_signal"":11,""runner_trail_stop"":10,""early_invalidation"":1,""overnight_risk_exit"":5,""hard_stop"":1,""overnight_runner_stop"":1}","{""historical_option_bars_unavailable"":23,""mtf_not_aligned"":45,""same_direction_position_open"":1}",115721,
